Frame,Model,Class,Confidence,X1,Y1,X2,Y2
271,YOLOv11,person,0.61,293,296,430,479
272,YOLOv10,person,0.74,292,288,441,479
272,YOLOv11,person,0.72,293,288,437,479
273,YOLOv10,vase,0.63,296,294,428,479
273,YOLOv11,person,0.54,294,295,426,479
275,YOLOv10,person,0.84,300,381,429,479
275,YOLOv11,person,0.74,300,381,428,479
277,YOLOv10,person,0.86,294,348,434,479
277,YOLOv10,tv,0.61,0,74,198,204
277,YOLOv11,person,0.84,296,349,433,479
278,YOLOv11,person,0.73,296,353,432,479
279,YOLOv11,person,0.73,296,353,432,479
280,YOLOv10,person,0.88,296,360,433,479
280,YOLOv11,person,0.88,296,360,433,479
281,YOLOv10,person,0.82,294,354,434,479
281,YOLOv11,person,0.88,294,354,433,479
282,YOLOv10,person,0.88,294,358,434,479
282,YOLOv11,person,0.87,296,358,433,479
283,YOLOv10,person,0.88,294,358,434,479
283,YOLOv11,person,0.87,296,358,433,479
284,YOLOv10,person,0.83,294,361,434,479
284,YOLOv11,person,0.87,294,361,433,479
285,YOLOv10,person,0.72,294,362,434,479
285,YOLOv11,person,0.88,294,362,434,479
286,YOLOv10,person,0.8,298,360,438,479
286,YOLOv11,person,0.86,298,360,440,479
287,YOLOv10,person,0.66,312,361,453,479
287,YOLOv11,person,0.52,312,361,453,479
288,YOLOv10,person,0.66,312,361,453,479
288,YOLOv11,person,0.52,312,361,453,479
289,YOLOv10,person,0.8,353,375,496,479
289,YOLOv11,person,0.82,354,374,497,479
290,YOLOv10,person,0.68,364,362,509,479
290,YOLOv11,person,0.82,364,362,510,479
291,YOLOv10,person,0.6,368,358,514,479
291,YOLOv11,person,0.87,368,358,514,479
292,YOLOv10,person,0.85,370,363,517,479
292,YOLOv11,person,0.84,373,363,517,479
293,YOLOv10,person,0.85,370,363,517,479
293,YOLOv11,person,0.84,373,363,517,479
294,YOLOv10,person,0.86,418,348,574,479
294,YOLOv11,person,0.86,417,348,577,479
295,YOLOv10,person,0.86,418,348,574,479
295,YOLOv11,person,0.86,417,348,577,479
296,YOLOv10,person,0.85,456,334,621,479
296,YOLOv11,person,0.87,456,335,622,479
297,YOLOv10,person,0.81,468,318,633,479
297,YOLOv11,person,0.5,466,318,633,479
298,YOLOv10,person,0.6,453,300,625,479
298,YOLOv11,person,0.75,454,301,626,479
299,YOLOv10,person,0.6,453,300,625,479
299,YOLOv11,person,0.75,454,301,626,479
301,YOLOv10,person,0.56,190,235,578,479
301,YOLOv11,toothbrush,0.92,201,241,578,479
302,YOLOv10,person,0.86,152,240,538,479
302,YOLOv11,person,0.85,149,240,540,479
303,YOLOv10,person,0.94,114,229,534,479
303,YOLOv11,person,0.91,113,228,542,479
304,YOLOv10,person,0.94,114,229,534,479
304,YOLOv11,person,0.91,113,228,542,479
305,YOLOv10,person,0.92,69,169,610,479
305,YOLOv11,person,0.92,68,171,613,479
306,YOLOv10,person,0.93,65,173,592,479
306,YOLOv11,person,0.92,70,173,597,479
307,YOLOv10,person,0.95,81,194,581,479
307,YOLOv11,person,0.92,84,193,581,479
308,YOLOv10,person,0.95,56,178,601,479
308,YOLOv11,person,0.93,57,177,600,479
309,YOLOv10,person,0.96,53,166,604,479
309,YOLOv11,person,0.94,52,166,604,479
310,YOLOv10,person,0.95,56,170,601,479
310,YOLOv11,person,0.94,57,169,601,479
311,YOLOv10,person,0.95,62,179,593,479
311,YOLOv11,person,0.94,65,179,592,479
312,YOLOv10,person,0.95,54,178,598,479
312,YOLOv11,person,0.93,54,177,598,479
313,YOLOv10,person,0.95,54,178,598,479
313,YOLOv11,person,0.93,54,177,598,479
314,YOLOv10,person,0.96,49,179,600,479
314,YOLOv11,person,0.92,48,179,600,479
315,YOLOv10,person,0.96,62,186,596,479
315,YOLOv11,person,0.93,64,185,594,479
316,YOLOv10,person,0.96,57,182,598,479
316,YOLOv11,person,0.93,50,181,600,479
317,YOLOv10,person,0.96,58,184,597,479
317,YOLOv11,person,0.93,61,183,598,479
318,YOLOv10,person,0.96,58,184,597,479
318,YOLOv11,person,0.93,61,183,598,479
319,YOLOv10,person,0.95,66,187,598,479
319,YOLOv11,person,0.91,68,186,598,479
320,YOLOv10,person,0.95,72,184,598,479
320,YOLOv11,person,0.91,72,183,634,479
321,YOLOv10,person,0.96,72,183,597,479
321,YOLOv11,person,0.94,72,182,598,479
322,YOLOv10,person,0.55,86,182,536,479
322,YOLOv11,person,0.89,1,181,638,478
323,YOLOv10,person,0.55,86,182,536,479
